ItemCliente;ItemSmarkets;CodigoPDM;TituloPDM;TextLongoPDM;NCM;Status
DIVISÓRIA P/FICHARIO PACOTE C/6 OFICIO;DIVISÓRIA P/FICHARIO PACOTE C/6 OFICIO;DPARQ;DIVISORIA PROJECAO PASTA ARQUIVO;"DIVISORIA PROJECAO PASTA ARQUIVO; MATERIAL PLASTICO; DIMENSAO OFICIO 230 X 330MM; QUANTIDADE DIVISORIAS 6 PROJECOES.; FUROS; COR;  INDICE; EMBALAGEM";;PARCIAL
DVD+RW REGRAVAVEL 4,7GB;DVD+RW REGRAVAVEL 4,7GB;SEM PDM;SEM PDM;;;BACKLOG
ELASTICO FINO N 18 LATEX RED BOR;ELASTICO FINO N 18 LATEX RED BOR;EESCR;ELASTICO ESCRITORIO;"ELASTICO ESCRITORIO; MATERIAL LATEX; COR BEGE; TAMANHO NUMERO 18; FORNECIMENTO;";;PARCIAL
ENVELOPE BRANCO (260MMX360MM);ENVELOPE BRANCO (260MMX360MM);ENVEL;ENVELOPE;"ENVELOPE; MATERIAL PAPEL OFFSET; GRAMATURA 90G/M²; MODELO SACO; COR BRANCO; TIMBRE SEM TIMBRE; TIPO FECHO DOBRAR; DIMENSOES 260 X 360MM";4817.10.00;TOTAL
ENVELOPE BRANCO (310MMX410MM);ENVELOPE BRANCO (310MMX410MM);ENVEL;ENVELOPE;"ENVELOPE; MATERIAL PAPEL OFFSET; GRAMATURA 90G/M²; MODELO SACO; COR BRANCO; TIMBRE SEM TIMBRE; TIPO FECHO DOBRAR; DIMENSOES 310 X 410MM";4817.10.00;TOTAL
ENVELOPE C/ZIPER  245X330MM BR;ENVELOPE C/ZIPER  245X330MM BR;ENVEL;ENVELOPE;"ENVELOPE; MATERIAL PLASTICO; GRAMATURA 90G/M²; MODELO MULTIUSO; COR INCOLOR TIMBRE SEM TIMBRE; TIPO FECHO ZIPER; DIMENSOES 245 X 330MM";3923.21.90;TOTAL
ENVELOPE KN 25 176 X 250 C/ 50;ENVELOPE KN 25 176 X 250 C/ 50;ENVEL;ENVELOPE;"ENVELOPE; MATERIAL PAPEL KRAFT; GRAMATURA 80G/M²; MODELO SACO; COR NATURAL; TIMBRE SEM TIMBRE; TIPO FECHO DOBRAR; DIMENSOES 176 X 250MM";4817.10.00;TOTAL
ENVELOPE KN 36 265 X 360 C/ 100;ENVELOPE KN 36 265 X 360 C/ 100;ENVEL;ENVELOPE;"ENVELOPE; MATERIAL PAPEL KRAFT; GRAMATURA 80G/M²; MODELO SACO; COR NATURAL; TIMBRE SEM TIMBRE; TIPO FECHO DOBRAR; DIMENSOES 260 X 360MM";4817.10.00;TOTAL
ENVELOPE KN 47 370 X 470 C/ 100;ENVELOPE KN 47 370 X 470 C/ 100;ENVEL;ENVELOPE;"ENVELOPE; MATERIAL PAPEL KRAFT; GRAMATURA 80G/M²; MODELO SACO; COR NATURAL; TIMBRE SEM TIMBRE; TIPO FECHO DOBRAR; DIMENSOES 370 X 470MM";4817.10.00;TOTAL
ENVELOPE OF23 162X229 BR PCT50;ENVELOPE OF23 162X229 BR PCT50;ENVEL;ENVELOPE;"ENVELOPE; MATERIAL PAPEL OFFSET; GRAMATURA 90G/M²; MODELO SACO; COR BRANCO; TIMBRE SEM TIMBRE; TIPO FECHO DOBRAR; DIMENSOES 162 X 229MM";4817.10.00;TOTAL
ENVELOPE PARA CD.126 X 126 C VISOR TRANS;ENVELOPE PARA CD.126 X 126 C VISOR TRANS;ENVEL;ENVELOPE;"ENVELOPE; MATERIAL PAPEL; GRAMATURA 75G/M²; MODELO CD/DVD; COR BRANCO; TIMBRE SEM TIMBRE; RPC/JANELA COM VISOR; TIPO FECHO ; DIMENSOES 126 X 126MM";4817.10.00;TOTAL
ENVELOPE PARDO (162MMX230MM);ENVELOPE PARDO (162MMX230MM);ENVEL;ENVELOPE;"ENVELOPE; MATERIAL PAPEL KRAFT; GRAMATURA 80G/M²; MODELO SACO; COR PARDO; TIMBRE SEM TIMBRE; TIPO FECHO DOBRAR; DIMENSOES 162 X 230MM";4817.10.00;TOTAL
ENVELOPE PARDO (260MMX360MM);ENVELOPE PARDO (260MMX360MM);ENVEL;ENVELOPE;"ENVELOPE; MATERIAL PAPEL KRAFT; GRAMATURA 80G/M²; MODELO SACO; COR PARDO; TIMBRE SEM TIMBRE; TIPO FECHO DOBRAR; DIMENSOES 260 X 360MM";4817.10.00;TOTAL
ENVELOPE PARDO (310MMX410MM);ENVELOPE PARDO (310MMX410MM);ENVEL;ENVELOPE;"ENVELOPE; MATERIAL PAPEL KRAFT; GRAMATURA 80G/M²; MODELO SACO; COR PARDO; TIMBRE SEM TIMBRE; TIPO FECHO DOBRAR; DIMENSOES 310 X 410MM";4817.10.00;TOTAL
ENVELOPE PARDO (35X45 CM);ENVELOPE PARDO (35X45 CM);ENVEL;ENVELOPE;"ENVELOPE; MATERIAL PAPEL KRAFT; GRAMATURA 80G/M²; MODELO SACO; COR PARDO; TIMBRE SEM TIMBRE; TIPO FECHO DOBRAR; DIMENSOES 350 X 450MM";4817.10.00;TOTAL
ENVELOPE PLAST OF GROSSO 015 2F C/50;ENVELOPE PLAST OF GROSSO 015 2F C/50;EPLAS;ENVELOPE PLASTICO;"ENVELOPE PLASTICO; MODELO SACO; DIMENSOES OFICIO 240 X 325MM; ESPESSURA 0,15µm; FURO 2 FUROS; FORMA FORNECIMENTO 50 UNIDADES";3923.21.90;TOTAL
ENVELOPE PLAST OF GROSSO 015 4F C/100;ENVELOPE PLAST OF GROSSO 015 4F C/100;EPLAS;ENVELOPE PLASTICO;"ENVELOPE PLASTICO; MODELO SACO; DIMENSOES OFICIO 240 X 325MM; ESPESSURA 0,15µm; FURO 4 FUROS; FORMA FORNECIMENTO 100 UNIDADES";3923.21.90;TOTAL
ENVELOPE PLAST OF GROSSO 015 4F C/50;ENVELOPE PLAST OF GROSSO 015 4F C/50;EPLAS;ENVELOPE PLASTICO;"ENVELOPE PLASTICO; MODELO SACO; DIMENSOES OFICIO 240 X 325MM; ESPESSURA 0,15µm; FURO 4 FUROS; FORMA FORNECIMENTO 50 UNIDADES";3923.21.90;TOTAL
ENVELOPE PLASTICO COM 4 FUROS - A4;ENVELOPE PLASTICO COM 4 FUROS - A4;EPLAS;ENVELOPE PLASTICO;"ENVELOPE PLASTICO; MODELO SACO; DIMENSOES A4 210 X 297MM; ESPESSURA ; FURO 4 FUROS; FORMA FORNECIMENTO";3923.21.90;PARCIAL
ENVELOPE PLASTICO COM 4 FUROS - OFÍCIO;ENVELOPE PLASTICO COM 4 FUROS - OFÍCIO;EPLAS;ENVELOPE PLASTICO;"ENVELOPE PLASTICO; MODELO SACO; DIMENSOES OFICIO 240 X 325MM; ESPESSURA ; FURO 4 FUROS; FORMA FORNECIMENTO ";3923.21.90;PARCIAL
ENVELOPE SKN 332 229X324 C/100 80GR;ENVELOPE SKN 332 229X324 C/100 80GR;ENVEL;ENVELOPE;"ENVELOPE; MATERIAL PAPEL KRAFT; GRAMATURA 80G/M²; MODELO SACO; COR NATURAL; TIMBRE SEM TIMBRE; TIPO FECHO DOBRAR; DIMENSOES 329 X 324MM; FABRICANTE-REFERENCIA SCRITY-SKN332";4817.10.00;TOTAL
ENVELOPE VAI E VEM KRAFT;ENVELOPE VAI E VEM KRAFT;ENVEL;ENVELOPE;"ENVELOPE; MATERIAL ; GRAMATURA G/M²; MODELO CIRCULACAO INTERNA; COR ; TIMBRE SEM TIMBRE; RPC/JANELA ; TIPO FECHO CORDAO; DIMENSOES MM";4817.10.00;PARCIAL
ESTILETE AUTO-RETRATIL SK-4 PROF OLFA;ESTILETE AUTO-RETRATIL SK-4 PROF OLFA;ESTIL;ESTILETE;"ESTILETE; MODELO RETRATIL ; LARGURA LAMINA 17,5MM; MATERIAL CORPO PLASTICO ; MATERIAL LAMINA ACO CARBONO; FABRICANTE-REFERENCIA OLFA-SK-4";8211.93.90;TOTAL
ESTILETE EMBORRACHADO;ESTILETE EMBORRACHADO 6POL;ESTIL;ESTILETE;"ESTILETE; MODELO RETRATIL ; LARGURA LAMINA ; MATERIAL CORPO; MATERIAL CABO EMBORRACHADO; MATERIAL LAMINA ; FABRICANTE-REFERENCIA";8211.93.90;PARCIAL
ESTILETE METAL;ESTILETE METAL 9MM;ESTIL;ESTILETE;"ESTILETE; MODELO RETRATIL ; LARGURA LAMINA 9MM; MATERIAL CORPO METAL ; MATERIAL LAMINA ACO CARBONO";8211.93.90;TOTAL
ESTILETE METAL LARGO;ESTILETE METAL 18MM;ESTIL;ESTILETE;"ESTILETE; MODELO RETRATIL ; LARGURA LAMINA 18MM; MATERIAL CORPO METAL ; MATERIAL LAMINA ACO CARBONO";8211.93.90;TOTAL
ETIQUETA  TP-12  AZUL  350UN;ETIQUETA  TP-12  AZUL  350UN;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; DIMENSAO 12MM; COR AZUL; FORMA FORNECIMENTO 210 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-12AZ";4821.90.00;TOTAL
ETIQUETA  TP-12  PRETA  350UN;ETIQUETA  TP-12  PRETA  350UN;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; DIMENSAO 12MM; COR PRETA; FORMA FORNECIMENTO 210 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-12PT";4821.90.00;TOTAL
ETIQUETA  TP-12  VERMELHA 350UN;ETIQUETA  TP-12  VERMELHA 350UN;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; MATERIAL ; DIMENSAO 12MM; COR VERMELHO; FORMA FORNECIMENTO 210 ETIQUETAS; FURO SEM FURO; NUMERO COLUNAS ; FABRICANTE-REFERENCIA PIMACO-TP-12VM";4821.90.00;DUPLICADO
ETIQUETA 8099-F 10FL 46,5 X 77,8 VIDEO;ETIQUETA 8099-F 10FL 46,5 X 77,8 VIDEO;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL CARTA; DIMENSAO 46,56 X 77,79MM; COR BRANCO; FORMA FORNECIMENTO 100 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-8099F";4821.90.00;TOTAL
ETIQUETA A-4 375 32,83X104,5;ETIQUETA A-4 375 32,83X104,5;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL A4; DIMENSAO 32,83 X 104,50MM; COR BRANCO; FORMA FORNECIMENTO 1800 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-A4375";4821.90.00;TOTAL
ETIQUETA A-5 Q-932 12 FL;ETIQUETA A-5 Q-932 12 FL;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL A5; DIMENSAO 9,00X32,00MM; COR BRANCO; FORMA FORNECIMENTO 840 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-A5Q-932";4821.90.00;TOTAL
ETIQUETA AUTOADESIVA 89X36;ETIQUETA AUTOADESIVA 89X36;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA ; MATERIAL ; DIMENSAO 89,00 X 36,00MM; GRAMATURA/ ESPESSURA ; COR ; FORMA FORNECIMENTO ; FURO SEM FURO; NUMERO COLUNAS ; FABRICANTE-REFERENCIA ";;PARCIAL
ETIQUETA CT INKJET 100FL 44,45X12 6187;ETIQUETA CT INKJET 100FL 44,45X12 6187;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL CARTA; DIMENSAO 12,70 X 44,45MM; COR BRANCO; FORMA FORNECIMENTO 8000 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-6187";4821.90.00;TOTAL
ETIQUETA CT INKJET 100FL 66,7X25,4 6180;ETIQUETA CT INKJET 100FL 66,7X25,4 6180;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL CARTA; DIMENSAO 25,40 X 66,70MM; COR BRANCO; FORMA FORNECIMENTO 3000 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-6180";4821.90.00;TOTAL
ETIQUETA CT INKJET 25FL 12,7X44,4 6287;ETIQUETA CT INKJET 25FL 12,7X44,4 6287;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL CARTA; DIMENSAO 12,70 X 44,45MM; COR BRANCO; FORMA FORNECIMENTO 2000 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-6287";4821.90.00;TOTAL
ETIQUETA CT INKJET 25FL 25,4X101,6 3281;ETIQUETA CT INKJET 25FL 25,4X101,6 3281;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL CARTA; DIMENSAO 25,40 X 101,60MM; COR BRANCO; FORMA FORNECIMENTO 500 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-6281";4821.90.00;TOTAL
ETIQUETA CT INKJET 25FL 25,4X66,7 6280;ETIQUETA CT INKJET 25FL 25,4X66,7 6280;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL CARTA; DIMENSAO 25,40 X 66,70MM; COR BRANCO; FORMA FORNECIMENTO 750 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-6280";4821.90.00;DUPLICADO
ETIQUETA CT INKJET 25FL 33,9X101,6 6282;ETIQUETA CT INKJET 25FL 33,9X101,6 6282;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL CARTA; DIMENSAO 33,90 X 101,60MM; COR BRANCO; FORMA FORNECIMENTO 350 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-6282";4821.90.00;TOTAL
ETIQUETA CT INKJET25FL 50,8X101,6 6283;ETIQUETA CT INKJET25FL 50,8X101,6 6283;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL CARTA; DIMENSAO 50,80 X 101,60MM; COR BRANCO; FORMA FORNECIMENTO 250 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-6283";4821.90.00;TOTAL
ETIQUETA INKJET LASER A5 22X32MM 3310144;ETIQUETA INKJET LASER A5 22X32MM 3310144;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL A5; DIMENSAO 22,00 X 32,00MM; COR BRANCO; FORMA FORNECIMENTO 360 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-A5Q-2232";4821.90.00;TOTAL
ETIQUETA PIMACO 5580A;ETIQUETA PIMACO 5580A;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MATERIAL PAPEL CARTA; DIMENSAO 25,40 X 66,70MM; COR AMARELO FLUORESCENTE; FORMA FORNECIMENTO 150 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-5580A";4821.90.00;TOTAL
ETIQUETA PIMACO 6184;ETIQUETA PIMACO 6184;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL CARTA; DIMENSAO 84,67 X 101,60MM; COR BRANCO; FORMA FORNECIMENTO 600 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-6184";4821.90.00;TOTAL
ETIQUETA PIMACO 6280;ETIQUETA PIMACO 6280;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL CARTA; DIMENSAO 25,40 X 66,70MM; COR BRANCO; FORMA FORNECIMENTO 750 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-6280";4821.90.00;TOTAL
ETIQUETA PIMACO 6281;ETIQUETA PIMACO 6281;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL CARTA; DIMENSAO 25,40 X 101,60MM; COR BRANCO; FORMA FORNECIMENTO 500 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-6281";4821.90.00;DUPLICADO
ETIQUETA PIMACO 6288;ETIQUETA PIMACO 6288;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL CARTA; DIMENSAO 138,11 X 106,36MM; COR BRANCO; FORMA FORNECIMENTO 100 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-6288";4821.90.00;TOTAL
ETIQUETA PIMACO A4349 (100 FOLHAS);ETIQUETA PIMACO A4349 (100 FOLHAS);ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL A4; DIMENSAO 15,00 X 26,00MM; COR BRANCO; FORMA FORNECIMENTO 12600 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-A4349";4821.90.00;TOTAL
ETIQUETA PIMACO A4351;ETIQUETA PIMACO A4351;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL A4; DIMENSAO 21,20 X 38,02MM; COR BRANCO; FORMA FORNECIMENTO 6500 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-A4351";4821.90.00;TOTAL
ETIQUETA PIMACO A4360 - 2100;ETIQUETA PIMACO A4360 - 2100;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL A4; DIMENSAO 38,10 X 63,50MM; COR BRANCO; FORMA FORNECIMENTO 2100 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-A4360";4821.90.00;TOTAL
ETIQUETA PIMACO A5Q1226;ETIQUETA PIMACO A5Q1226;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL A5; DIMENSAO 12,00 X 26,00MM; COR BRANCO; FORMA FORNECIMENTO 924 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-A5Q-1226";4821.90.00;TOTAL
ETIQUETA PIMACO A5Q-50100;ETIQUETA PIMACO A5Q-50100;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA INKJET+LASER; MATERIAL PAPEL A5; DIMENSAO 50,00 X 100,00MM; COR BRANCO; FORMA FORNECIMENTO 36 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-A5Q-50100";4821.90.00;TOTAL
ETIQUETA PIMACO Q-1226 (12X23CM);ETIQUETA PIMACO Q-1226 (12X23CM);ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA USO MANUAL; DIMENSAO 12,00 X 26,00MM; COR BRANCO; FORMA FORNECIMENTO 105 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-Q-1226";4821.90.00;TOTAL
ETIQUETA REFORCO COLOR OP-4433;ETIQUETA REFORCO COLOR OP-4433;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA REFORCO; DIMENSAO 14,50MM; COR COLORIDO; FORMA FORNECIMENTO 150 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-OP-4433";4821.90.00;TOTAL
ETIQUETA REFORCO TRANSPARENTE OP-2233;ETIQUETA REFORCO TRANSPARENTE OP-2233;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA REFORCO; DIMENSAO 14,50MM; COR TRANSPARENTE; FORMA FORNECIMENTO 150 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-OP-2233";4821.90.00;TOTAL
ETIQUETA TP - 12 AMARELA;ETIQUETA TP - 12 AMARELA;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; MATERIAL ; DIMENSAO 12MM; COR AMARELO; FORMA FORNECIMENTO 210 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-12AM";4821.90.00;TOTAL
ETIQUETA TP - 12 AZUL;ETIQUETA TP - 12 AZUL;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; DIMENSAO 12MM; COR AZUL; FORMA FORNECIMENTO 210 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-12AZ";4821.90.00;DUPLICADO
ETIQUETA TP - 12 AZUL ESCURO;ETIQUETA TP - 12 AZUL ESCURO;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; DIMENSAO 12MM; COR AZUL; FORMA FORNECIMENTO 210 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-12AZ";4821.90.00;DUPLICADO
ETIQUETA TP - 12 LARANJA;ETIQUETA TP - 12 LARANJA;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; DIMENSAO 12MM; COR LARANJA; FORMA FORNECIMENTO 210 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-12LR";4821.90.00;TOTAL
ETIQUETA TP - 12 OURO;ETIQUETA TP - 12 OURO;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; DIMENSAO 12MM; COR OURO; FORMA FORNECIMENTO 210 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-12OU";4821.90.00;TOTAL
ETIQUETA TP - 12 PRATA;ETIQUETA TP - 12 PRATA;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; DIMENSAO 12MM; COR PRATA; FORMA FORNECIMENTO 210 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-12PR";4821.90.00;TOTAL
ETIQUETA TP - 12 PRETA;ETIQUETA TP - 12 PRETA;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; DIMENSAO 12MM; COR PRETA; FORMA FORNECIMENTO 210 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-12PT";4821.90.00;DUPLICADO
ETIQUETA TP - 12 VERDE;ETIQUETA TP - 12 VERDE;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; DIMENSAO 12MM; COR VERDE; FORMA FORNECIMENTO 210 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-12VD";4821.90.00;TOTAL
ETIQUETA TP - 12 VERMELHA;ETIQUETA TP - 12 VERMELHA;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; MATERIAL ; DIMENSAO 12MM; COR VERMELHO; FORMA FORNECIMENTO 210 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-12VM";4821.90.00;TOTAL
ETIQUETA TP - 16 OURO;ETIQUETA TP - 16 OURO;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; MATERIAL ; DIMENSAO 16MM; COR OURO; FORMA FORNECIMENTO 150 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-16OU";4821.90.00;TOTAL
ETIQUETA TP - 16 PRATA;ETIQUETA TP - 16 PRATA;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; MATERIAL ; DIMENSAO 16MM; COR OURO; FORMA FORNECIMENTO 150 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-16PR";4821.90.00;TOTAL
ETIQUETA TP - 16 TRANSPARENTE;ETIQUETA TP - 16 TRANSPARENTE;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA LACRE; MATERIAL ; DIMENSAO 16MM; COR OURO; FORMA FORNECIMENTO 150 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-16TR";4821.90.00;TOTAL
ETIQUETA TP - 19 AMARELA;ETIQUETA TP - 19 AMARELA;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; MATERIAL ; DIMENSAO 19MM; COR AMARELO; FORMA FORNECIMENTO 200 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-19AM";4821.90.00;TOTAL
ETIQUETA TP - 19 AMARELA FLOURESCENTE;ETIQUETA TP - 19 AMARELA FLOURESCENTE;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; MATERIAL ; DIMENSAO 19MM; COR AMARELO FLUORESCENTE; FORMA FORNECIMENTO 100 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-19FL-A";4821.90.00;TOTAL
ETIQUETA TP - 19 AZUL;ETIQUETA TP - 19 AZUL;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; MATERIAL ; DIMENSAO 19MM; COR AZUL; FORMA FORNECIMENTO 200 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-19AZ";4821.90.00;TOTAL
ETIQUETA TP - 19 LARANJA;ETIQUETA TP - 19 LARANJA;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; MATERIAL ; DIMENSAO 19MM; COR LARANJA; FORMA FORNECIMENTO 200 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-19LR";4821.90.00;TOTAL
ETIQUETA TP - 19 PRETA;ETIQUETA TP - 19 PRETA;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; MATERIAL ; DIMENSAO 19MM; COR PRETO; FORMA FORNECIMENTO 200 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-19PT";4821.90.00;TOTAL
ETIQUETA TP - 19 ROSA;ETIQUETA TP - 19 ROSA;ETIQU;ETIQUETA;"ETIQUETA; TIPO ADESIVA; MODELO/GRAVURA IDENTIFICACAO; MATERIAL ; DIMENSAO 19MM; COR ROSA FORMA FORNECIMENTO 100 ETIQUETAS; FURO SEM FURO; FABRICANTE-REFERENCIA PIMACO-TP-19FL-M";4821.90.00;TOTAL
